TrackName,PricePerTrack,TotalUnitsSold
radical,1.99,1
realfun,0.99,1
realhip,0.99,1
reallove,0.99,1
reciprocal,0.99,1
regional,0.99,1
secondary,0.99,1
secured line,0.99,1
servicedesk,0.99,1
servicejazzdesk,0.99,1
solutionhiphop,0.99,1
solutionoriented,0.99,1
solutionsavior,0.99,1
superstructure,0.99,1
support,0.99,1
systemwhat,0.99,1
systework,0.99,1
taskforce,0.99,1
taskteller,0.99,1
tertiary,0.99,1
timeframe,0.99,1
timetellframe,0.99,1
timewhatframe,0.99,1
toolsettunes,0.99,1
transitional,0.99,1
valuekin,0.99,1
webby,0.99,1
website,0.99,1
zero administration,1.99,1
